Title,Price,Location,Mileage,Engine,Model Year,Listing URL,Image URL,Price (PKR),Mileage (km),Engine (cc),Year,City
Toyota C-HR 2017 G-LED for Sale,PKR 70 lacs,Swabi,"70,000 km",1800 cc,2017,https://www.pakwheels.com/used-cars/toyota-c-hr-2017-for-sale-in-swabi-10075570,https://cache4.pakwheels.com/ad_pictures/1215/tn_toyota-c-hr-g-led-2017-121504694.webp,70.0,70000,1800,2017,Swabi
Mazda RX8 2007 Type S for Sale,PKR 35 lacs,Lahore,"55,000 km",1300 cc,2007,https://www.pakwheels.com/used-cars/mazda-rx8-2007-for-sale-in-lahore-10069639,https://cache1.pakwheels.com/ad_pictures/1214/tn_mazda-rx-8-type-s-2-2007-121412118.webp,35.0,55000,1300,2007,Lahore
"Toyota Prado 2017 TX 2.7 for Sale
9.8/10",PKR 2.13 crore,Lahore,"63,240 km",2700 cc,2017,https://www.pakwheels.com/used-cars/toyota-prado-2017-for-sale-in-lahore-10114970,https://cache2.pakwheels.com/ad_pictures/1221/tn_toyota-prado-tx-4-2017-122102752.webp,213.0,63240,2700,2017,Lahore
Toyota Prius 2011 S 1.5 for Sale,PKR 28 lacs,Peshawar,"191,000 km",1497 cc,2011,https://www.pakwheels.com/used-cars/toyota-prius-2011-for-sale-in-peshawar-10092940,https://cache1.pakwheels.com/ad_pictures/1218/tn_toyota-prius-s-1-5-2011-121808147.webp,28.0,191000,1497,2011,Peshawar
Honda Civic Rebirth 2014 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,PKR 34.85 lacs,Multan,"106,000 km",1800 cc,2014,https://www.pakwheels.com/used-cars/honda-civic-2014-for-sale-in-multan-10111052,https://cache4.pakwheels.com/ad_pictures/1220/tn_honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2014-122042554.webp,3485.0,106000,1800,2014,Multan
Suzuki Wagon R 2022 VXL for Sale,PKR 29.75 lacs,Lahore,"23,000 km",1000 cc,2022,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-lahore-10119853,https://cache3.pakwheels.com/ad_pictures/1221/tn_suzuki-wagon-r-vxl-2022-122180109.webp,2975.0,23000,1000,2022,Lahore
Suzuki Alto 2021 VXL AGS for Sale,PKR 24.75 lacs,Lahore,"62,000 km",660 cc,2021,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-lahore-10119845,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D",2475.0,62000,660,2021,Lahore
Toyota Corolla 2021 Altis X Automatic 1.6 for Sale,PKR 57.5 lacs,Multan,"19,600 km",1598 cc,2021,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-multan-10120745,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D",575.0,19600,1598,2021,Multan
Honda Civic 2022 Oriel 1.8 i-VTEC CVT for Sale,PKR 74.8 lacs,Multan,"3,215 km",1800 cc,2022,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-multan-10106762,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D",748.0,3215,1800,2022,Multan
Toyota Fortuner 2017 2.7 VVTi for Sale,PKR 1.07 crore,Hyderabad,"58,000 km",2700 cc,2017,https://www.pakwheels.com/used-cars/toyota-fortuner-2017-for-sale-in-hyderabad-10120743,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D",107.0,58000,2700,2017,Hyderabad
